Movie_Name,Storyline
Joan,"A mother in despair is swept up into the exhilarating world of crime as she swings between trying to get her daughter back from social services and building a daring, thriving career as a jewel thief."
Survive,A couple celebrates their son's birthday in the middle of the ocean on their boat . A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
Time Cut,"Lucy, a modern high school senior and amateur inventor, accidentally finds a time machine and travels back to 2003, the year her sister was murdered by an unknown serial killer. Now torn between solving the mystery that has undone her parents and her hometown, saving the sister that she never knew, and irreparably altering the future - and her own existence - Lucy must decide how to stop the slasher, save her family, and blend into 2003."
2073,"It will tackle challenges the world faces and is inspired by Chris Marker's iconic 1962 featurette La Jetée, about a time traveler who risks his life to change the course of history and save the future of humanity."
Spellbound,"Ellian is a tenacious princess who must go on a daring quest to save her family and kingdom after a mysterious spell transforms her parents, the King and Queen of Lumbria, into monsters."
Pani,"When the peaceful married life of a couple is unexpectedly disrupted by two youngsters with criminal inclination, the trials and tribulations connect the mobster lives of Thrissur by becoming a part of vengeance."
Apocalypse Z: The Beginning of the End,"In Spain, the lawyer and manufacturer of a solar panels Manel and his beloved wife Julia visit his sister Belén and her family near Christmas. While returning home, they have a discussion and a subsequent car accident, where Julia dies. One year later, Manel is depressed and living alone with his cat Lúculo in Galicia. He does not pay attention to the outbreak of the TSJ virus in Europe, more lethal than Covid 19. The military husband of Belén, Mario, succeeds in being transferred with Belén and their little son Carlos, to the Canary Islands and they call Manel to join them. But the Spanish government closes the borders trying to contain the virus that turns people into violent zombies. Belén and Mario advise Manel to stay home and ignore the government shelters where the probability of infections is greater. But Manel has only a few supplies and soon he needs to loot supplies in the closed house, in the beginning of his fight to survive with Lúculo. —Claudio Carvalho, Rio de Janeiro, Brazil"
Palm Royale,"""Palm Royale"" is an underdog tale about one woman's attempts to belong in a world she feels excluded from, but simultaneously believes that she deserves to be there. As an outsider trying to fit in, her story asks: How much of yourself are you willing to sacrifice to get what someone else has? —tegabrian"
Black Box Diaries,"Journalist Shiori Ito investigates her own sexual assault, seeking to prosecute the high-profile offender. Her quest becomes a landmark case, exposing Japan's outdated judicial and societal systems."
"Die, My Love","In a forgotten patch of countryside, a woman is battling her demons: embracing exclusion yet wanting to belong, craving freedom whilst feeling trapped, yearning for family life but wanting to burn the entire house down. Given surprising leeway by her family for her increasingly erratic behavior, she nevertheless feels ever more stifled and repressed. Motherhood, womanhood, the banality of love, the terrors of desire, the brutality of another person carrying your heart forever."
The Day the Earth Blew Up: A Looney Tunes Movie,"Porky and Daffy, the classic animated odd couple, turn into unlikely heroes when their antics at the local bubble gum factory uncover a secret alien mind control plot. Against all odds, the two are determined to save their town (and the world!)...that is if they don't drive each other crazy in the process."
Bonhoeffer: Pastor. Spy. Assassin.,"As the world teeters on the brink of annihilation, Dietrich Bonhoeffer is swept into the epicenter of a deadly plot to assassinate Hitler. With his faith and fate at stake, Bonhoeffer must choose between upholding his moral convictions or risking it all to save millions of Jews from genocide. Will his shift from preaching peace to plotting murder alter the course of history or cost him everything?"
Lonely Planet,During a retreat for authors in picturesque Morocco a popular American writer has plans to continue writing her latest book. Her plan however gets disrupted when she gets attracted to an American young man who has accompanied his writer girlfriend to the retreat. —Madan Marwah
Soundtrack to a Coup d'Etat,Jazz and decolonization are entwined in this historical rollercoaster that rewrites the Cold War episode that led musicians Abbey Lincoln and Max Roach to crash the UN Security Council in protest against the murder of Patrice Lumumba.
Until I Kill You,"Delia Balmer, an agency nurse, met Sweeney, who confessed to killing his ex-girlfriend. He attacked her before evading capture. Balmer rebuilt her life to confront Sweeney seven years later after he was arrested for another murder."
Atlas,"Atlas Shepherd (Lopez), a brilliant but misanthropic data analyst with a deep distrust of artificial intelligence, joins a mission to capture a renegade robot with whom she shares a mysterious past. But when plans go awry, her only hope of saving the future of humanity from AI is to trust it. —tpsimpleman"
Bring Them Down,"Michael, the last son of a shepherding family, lives with his ailing father, Ray. Burdened by a terrible secret, Michael has isolated himself from the world. When a conflict with rival farmer Gary and his son Jack escalates, Michael is drawn into a devastating chain of events, forcing him to confront the horrors of his past and leaving both families permanently altered. —MUBI"
The Trunk,"A secret marriage service is uncovered when a trunk washes up on the shore, revealing the strange marriage between a couple in the thick of it all."
Incoming,Four freshmen navigate the terrors of adolescence at their first-ever high school party.
In a Violent Nature,"When a locket is removed from a collapsed fire tower in the woods that entombs the rotting corpse of Johnny, a vengeful spirit spurred on by a horrific 70-year old crime, his body is resurrected and becomes hellbent on retrieving it."
The End,"A post-apocalyptic story about a rich family living in a salt mine converted into a luxurious home. The earth around them has apparently been destroyed, but their son has never seen the outside world. As a young girl appears at the entrance of the bunker, the balance of the family is threatened. —olisilumea"
Tires,"Will, an unqualified heir, attempts to turn his auto repair business around while enduring torment from his now-employee cousin Shane."
Touch,"A romantic and thrilling story that spans several decades and continents; Touch follows one man's emotional journey to find his first love who disappeared 50 years ago, before his time runs out."
Boneyard,"After Police Chief Carter (Curtis ""50 Cent"" Jackson) discovers the remains of eleven women, FBI Special Agent Petrovick (Mel Gibson) is recruited to profile the serial killer responsible for the infamous ""boneyard"" killings. As the police force, narcotics agency, and FBI lock horns, a tangled web of intrigue turns everyone into a suspect."
The Garfield Movie,"Garfield (voiced by Chris Pratt), the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure. After an unexpected reunion with his long-lost father - scruffy street cat Vic (voiced by Samuel L. Jackson) - Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist. —The films website"
Critical Incident,"When a police officer pursues a teenage suspect on to a busy train platform, a bystander is critically injured, and the lives of the pursued and pursuer are thrown into turmoil."
The Inheritance,"A billionaire on the eve of his 75th birthday, invites his estranged children back home out of fear that tonight someone or something is going to kill him. He puts each of their inheritances on the line, to make sure they'll help."
The Silent Hour,"Joel Kinnaman plays a Boston Police Detective who suffers an on-the-job accident which leaves him newly deaf. Sixteen months later, he and his friend and partner (Mark Strong) must battle a team of corrupt cops attempting to eliminate a deaf murder witness in the apartment building where she lives."
Something in the Water,A group of five friends must fight for their lives in open water after a dream wedding turns into a nightmare.
Why Do You?,"Love comes without asking. Often not to those, not so and not then. Can a genuine feeling survive when everything started wrong and the whole world is against it? Give up everything or give up? Burn or survive?"
Harold and the Purple Crayon,"Inside of his book, adventurous Harold (Zachary Levi) can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life - and that his trusty purple crayon may set off more hilarious hijinks than he thought possible. When the power of unlimited imagination falls into the wrong hands, it will take all of Harold and his friends' creativity to save both the real world and his own."
Kalki 2898 AD,"During the Kurukshetra war Ashwatthama is cursed by lord Krishna to attain immortality and witness humanity during Kalyug.His redemption can occur by protecting mother of Kalki the last reincarnation of Lord Vishnu. Six thousand years later in the futuristic world deserted city of Kasi is ruled by an evil Yaskin.His complex is run by Commander Manas whose team is working on Project K for Yaskin.They capture fertile women and their serum is used to increase life of Yaskin but hardly any female survive beyond 120 days of fertility.Sum 80 (Sumati) suppresses 150 days and is about to meet the same faith as others.But manages to elope with help of few rebels,Ashwatthama realizes that Sumati is the woman he is there to protect and comes to her aid.Yaskin and Manas are desperate to find Sumati but Ashwatthama stands between them. A confusion arises when Bhairav comes to save Sumati where he and Ashwatthama clash mistaken themselves as either to be enemy of Sumati. —alex.mjacko@gmail.com"
Bagman,"In the dark horror film BAGMAN, a family finds themselves ensnared in a nightmare as they are hunted by a malevolent, mythical creature. For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag-never to be seen again. Patrick McKee (Sam Claflin) narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick's childhood tormentor has returned, threatening the safety of his wife Karina (Antonia Thomas) and son Jake (Caréll Rhoden)."
Orb: On the Movements of the Earth,"15th century Poland-a time when heretical ideas led those who possessed such a mindset to be burned at the stake for their beliefs. Rafal, a child prodigy, is expected to major in theology at university, the most important subject at the time. However, one day he meets a mysterious man, and begins researching a potential ""truth"" amid heretical ideas!. —MAL News"
Unfrosted,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever."
Young Woman and the Sea,"The daughter of a German butcher from Manhattan, Gertrude Ederle was a competitive swimmer who won gold in the 1924 Olympics when she decided to attempt crossing the channel. She undertook the feat after first swimming 22 miles from Battery Park in New York to Sandy Hook, NJ, setting a record that stood for 81 years. She contracted with two newspapers and sold her story, thereby financing her quest. There was actually a race among women who would be first to cross as only five men had done so before."
Madam,"Mack Leigh, faced with a philandering husband and a mountain of debt starts up an ethical brothel in small town New Zealand to provide for her family and put a new spin on sex and work."
The Road Trip,"A wedding trip to Spain takes an unexpected turn for Addie and her sister Deb when they're forced to share a campervan with Addie's ex Dylan, his friend Marcus, and a stranger Rodney.The group confronts their tangled past."
Beacon,"An ambitious solo trip leads to a young sailor's shipwreck on a remote island, where she's rescued by the lone inhabitant, a lighthouse keeper. As reality twists and their trust fractures, survival becomes a grueling trial."
Milk & Serial,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.
Between Borders,"The incredible true story of an Armenian family forced to flee their home during the collapse of the Soviet Union, and embark on a journey to find a community to call their own."
The Secret Lives of Mormon Wives,Reality show about swingers who happen to be Mormon wives.
Monster Summer,"When a mysterious force begins to disrupt their big summer fun, Noah and his friends team up with a retired police detective to embark on a monstrous adventure to save their island."
The Decameron,"In 1348, as the Black Death strikes hard in the city of Florence. A handful of nobles are invited to retreat with their servants to a grand villa in the Italian countryside and wait out the pestilence with a lavish holiday. But as social rules wear thin, what starts as a wine-soaked sex romp in the hills of Tuscany descends into an all out scramble for survival."
Greedy People,Follows the residents of a small island town who must navigate a sensational murder and the discovery of a million dollars; a series of increasingly bad decisions upend the once peaceful community.
Fight Night: The Million Dollar Heist,"The infamous story of how an armed robbery on the night of Muhammad Ali's historic 1970 comeback fight transformed Atlanta into the ""Black Mecca."""
The Brothers Sun,"Just when Taipei gangster Charles Sun has finally settled into his life as a ruthless killer, his father is shot by a mysterious assassin and he must prepare to journey back to L.A. to protect his mother and utterly-unaware younger brother Bruce. —brianfabulous"
All for One,"Sara a young Morisco unmasks the three musketeers who protect the Queen of France, she decides to cling to these powerful women and their brilliant idea."
The Darkness,"A dedicated investigator, she is being forced into early retirement and takes on a final cold case centered on a young Russian asylum seeker who died mysteriously one year prior."
Moonflower Murders,Editor Susan Ryeland is tasked with finding the solution to a real-life cold case hidden within one of Alan Conway's early Atticus Pünd novels.
Never Let Go,A family that has been haunted by an evil spirit for years. Their safety and their surroundings come into question when one of the children questions if the evil is real.
Descendants: The Rise of Red,"The expansive new story finds polar opposites Red and Chloe crossing paths at a momentous celebration in Auradon when unexpected chaos breaks out. In order to prevent an impending coup, they must join forces to travel back in time, via a magical pocket watch created by the Mad Hatter's son, to stop an event that would lead to grave consequences."
The Deliverance,"In a case widely covered at the time, Latoya Ammons and her three children experienced strange incidents in their Gary, Indiana home that grew progressively worse: the children were levitating, becoming violent with one another, and speaking in deep growls with no recollection afterward. Skeptics abounded, but the Gary Police Department, Department of Child Services, and the local church and hospital all became involved, filing reports that took the supernatural occurrences seriously. Officers, doctors, and social workers said they witnessed many of the incidents, including one in which Latoya's 9-year-old son walked backwards up a wall. The Indianapolis Star covered it closely as the Department of Child Services investigated it."
Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
Rumours,"The leaders of seven wealthy democracies get lost in the woods while drafting a statement on a global crisis, facing danger as they attempt to find their way out."
Girls Will Be Girls,"Mira is the senior school student and has plenty of stuff going on in her life. She has to concentrate on her studies to get good grades, balance her relationship with her strict mother, cope with personal problems of adolescence and deal with her attraction to a boy student. —Madan Marwah"
Deal or No Deal Island,A group of 13 contestants compete in dangerous games on a private island for a cash prize in an intense season-long reality competition overseen by an enigmatic Banker.
The Colors Within,"High school girl Totsuko can see the colors of the emotions in people. In order to keep her friends and family from feeling dark feelings, she worries, reads situations, and even lies to smooth thing over. At an antique bookshop in the corner of Nagasaki, she meets a beautiful woman with an incredibly beautiful color and a music-loving boy trying to put together a band. The story follows these three sensitive people who gather together to play in a band."
Trigger Warning,"A soldier on active service learns that her father has expired in a mining accident. She comes back home to investigate because she is feels that it was not an accident and that her father was killed. She faces much opposition while asking questions,"
Allegiance,"A rookie agent working in Surrey, her hometown, who faces the limits of the judicial system as she battles to exonerate her politician father."
Winnie-the-Pooh: Blood and Honey 2,"""Deep within the 100-Acre-Wood, a destructive rage grows as Winnie-the-Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after Christopher Robin revealed their existence. Not wanting to live in the shadows any longer, the group decides to take the fight to the town of Ashdown, home of Christopher Robin, leaving a bloody trail of death and mayhem in their wake. Winnie and his savage friends will show everyone that they are deadlier, stronger, and smarter than anyone could ever imagine and get their revenge on Christopher Robin, once and for all."""
William Tell,"In 14th Century Switzerland, a once peaceful hunter leads his people to rebellion after his family and country are threatened by a tyrannical Austrian King. The year is 1307 and the Holy Roman Empire is crumbling. As its grip on Europe loosens, new dynasties such as the Austrian Habsburg Family encroach on new lands, desperate for power. In Switzerland, the once peaceful country is overwhelmed and bows under the Austrian might as it advances and upends the quiet lives of the Swiss peasants."
Return to Paradise,"Detective Inspector Mackenzie Clarke reluctantly returns to her Australian hometown after leaving her fiancé, only to be pulled into a case testing her tenacity until the culprit is apprehended."
Ellis,"DCI Ellis and DS Harper arrive at police stations to solve murder cases. Despite being overlooked, Ellis is a determined detective driven by a quest for justice and compassion."
The Tale of Lady Ok,"Set during the Joseon period, Ok Tae-Young (Lim Ji-Yeon) is a legal expert. She is smart, has an excellent work ethic, and is athletic. Even in difficult situations, she doesn't hesitate to help people. That is why she is loved by people around her, but she has secret. Her secret is that her name, husband, and her status are all fake. She happens to meet Cheon Seung-Whee (Choo Yeong-Woo). He is a story-teller and travels all around the country reciting novels to people. He happens to meet Ok Tae-Young and falls in love with her at first sight. He stays near her and helps her no matter what. —Asian Wiki"
Let's Start a Cult,"After missing out on a long-awaited mass suicide, an obnoxious cult member teams up with his former leader to gain a new following."
Long Gone Heroes,"Gunner, a special forces soldier who has witnessed the darkest side of country and combat, is forced back into the field of battle to save his niece, who is being held in South America. As the fight intensifies, Gunner and his team discover that her disappearance is part of a corrupt private operation that hits way too close to home. Acclaimed actors Andy Garcia, Melissa Leo, Josh Hutcherson, and Frank Grillo star in a nonstop action-thriller that will leave you breathless."
Delicious in Dungeon,"Adventuring knight Laios Touden leads a small party through a seemingly endless dungeon, a subterranean maze full of dangerous monsters and precarious traps. Through the use of advanced magic, an explorer can sometimes be resurrected, allowing them to learn from past mistakes and give traversing the dungeon another go. However, when a powerful dragon eats Falin, Laios' spellcasting sister, she sends her brother and his companions back to the beginning to save them from permanent ends. Though strapped for cash and equipment, Laios resolves to fight his way through the dungeon and rescue Falin before she can be digested by the dragon. Despite some of Laios' allies abandoning him, two remain by his side: elven mage Marcille Donato and halfling locksmith Chilchuck Tims. Due to their lack of funds, the party faces the daunting prospect of starving before being able to complete their quest. However, they find salvation in Senshi, a dwarven warrior with a penchant for cooking and safely eating defeated monsters. With Senshi's culinary expertise, Laios and his companions struggle through the dungeon while learning about gourmet dining-and each other-along the way."
Bystanders,"Abby and her friends expect an unforgettable frat party, but their night descends into a horrific nightmare when they're drugged and forced into a twisted hunt for sport. Separated from her friends, Abby must use every ounce of her instinct to survive as relentless predators track her every move. Just when hope is slipping away, a mysterious and dangerous couple appears, flipping the game on its head. With a dark agenda of their own, they turn the predators into prey in a deadly battle of vengeance. Now, Abby must decide: trust the enigmatic duo or carve out her own escape from this nightmare?"
Afraid,"In AFRAID, Curtis (John Cho) and his family are selected to test a revolutionary new home device: a digital family assistant called AIA. Taking smart home to the next level, once the unit and all its sensors and cameras are installed in their home, AIA seems able to do it all. She learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way. —Columbia Pictures"
Tarot,"When a group of friends recklessly violates the sacred rule of Tarot readings - never use someone else's deck - they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death to escape the future foretold in their readings."
Ask Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair."
Fighter,"Group Captain Rakesh Jai Singh (Rocky) is assigned for a team of fighter pilots called Air Dragons.Which consists of Meenal Rathore (Minni),Sartaj Gill (Taj),Basheer Khan (Bash) and the best fighter pilot Shamsher Pathania (Patty).Rocky and Patty share a grief as he believes a co pilot Naina (Enjay) died due to his negligence and old habits die soon. Patty and Mini come close to each other during their mission and fall in love. On the other end Azhar Akthar an international terrorist plans an attack with Pakistan on Indian Army Base which leads to major loss of lives. But Patty and his team backfire and destroy the Pakistani air base. Aftermath rises a conflict between the two countries where Pakistani's launch another attack on Indian army where Patty,Taj and Bash cross the LOC and enter Pakistani even thou Rocky had instructed not to cross the LOC .Bash and Taj plane crashes and both are termed dead. Rocky then raises and inquiry on Patty for not following instructions but Rocky proves him not guilty and has him transferred to Hyderabad Air Force Academy as an instructor."
Crá,"In an isolated village in the north west of Ireland, a murder investigation begins when Garda Barry Roche finds a body buried in the bog. In the most personal of cases, Garda Conall Ó Súilleabháin discovers it is his mother, Sabine, who has been missing for 15 years. Conall is forbidden from working on the case, but is drawn into the investigation by a determined young journalist Ciara-Kate, who is using her true-crime podcast to expose the village's deepest secrets. As they unravel the truth, they must confront a community bound by silence and its own moral codes. —from track.tv (Canon y mus)"
Mary & George,"The Countess of Buckingham molds her son to seduce King James I and become his all-powerful lover through intrigue; to become richer, more titled and influential than England has ever seen."
Mr. Plankton,"A man with little chance for happiness and his ex, the unhappiest bride-to-be, are forced to accompany one another on the final journey of his life."
Look Back,Not_Found
Upgraded,Not_Found
Jackpot!,Not_Found
The Front Room,Not_Found
Ghostlight,Not_Found
Nautilus,Not_Found
Love Next Door,Not_Found
Murder Mindfully,Not_Found
Under Paris,Not_Found
The Marlow Murder Club,Not_Found
Armor,Not_Found
The Girl in the Pool,Not_Found
Lisa Frankenstein,Not_Found
The Platform 2,Not_Found
La Cocina,Not_Found
The Southern Chronicles,Not_Found
Sanctuary: A Witch's Tale,Not_Found
The Piano Lesson,Not_Found
Luther: Never Too Much,Not_Found
Someone Like You,Not_Found
Lady in the Lake,Not_Found
Kishkindha Kaandam,Not_Found
We Were the Lucky Ones,Not_Found
Cry Wolf,Not_Found
Canary Black,Not_Found
Night of the Zoopocalypse,Not_Found
The Devil's Bath,Not_Found
The Last Night at Tremore Beach,Not_Found
Rebel Moon - Part Two: The Scargiver,Not_Found
Time Bandits,Not_Found
Twilight of the Gods,Not_Found
Lovely Runner,Not_Found
Take Cover,Not_Found
Arthur the King,Not_Found
Ricky Stanicky,Not_Found
Paris Has Fallen,Not_Found
Aavesham,Not_Found
Girl Haunts Boy,Not_Found
The Bad Shepherd,Not_Found
Nightsleeper,Not_Found
Like Water for Chocolate,Not_Found
Ordinary Angels,Not_Found
Armand,Not_Found
Boy Swallows Universe,Not_Found
Timestalker,Not_Found
Baddies Midwest,Not_Found
Clear Cut,Not_Found
The Pradeeps of Pittsburgh,Not_Found
Geek Girl,Not_Found
Omni Loop,Not_Found
Red Eye,Not_Found
Supacell,Not_Found
Apples Never Fall,Not_Found
Amber Alert,Not_Found
My Favourite Cake,Not_Found
Winter Spring Summer or Fall,Not_Found
Indiana Jones and the Great Circle,Not_Found
Manhunt,Not_Found
The Beast Within,Not_Found
Mary,"In coming-of-age story Mary, the title character is shunned following the otherworldly conception of her child and forced into hiding. King Herod's relentless drive to maintain power at any cost ignites the murderous pursuit of the newborn child that he believes is a threat to his reign on the throne. The film sees the young Mary and Joseph on the run and having to hide their baby, Jesus."
Constellation,"When an unidentified object collides with the International Space Station, the surviving astronauts make an emergency evacuation leaving crew-mate Johanna Ericsson behind to repair the other descent module. When she returns to Earth, she finds that reality is scrambled and parts of her life are missing or not as she remembers them."
The Franchise,A team trapped inside the dysfunctional hell of creating franchise superhero movies. At the end of the day the question they face: is this Hollywood's new dawn or cinema's last stand? Is this a dream factory or a chemical plant?
Invisible,"12-year-old Capi suffers a traumatic accident causing PTSD. While a psychologist tries to uncover the reasons, Capi reveals he has invisibility powers and nightmares of monsters. A new teacher aims to make the invisible visible to help him"
Watchmen: Chapter I,"In an alternate world history shaped by superheroes, once-celebrated ""costumed adventurers"" have been banned by a society disenchanted with vigilantism. Now, in 1985, the murder of hero-turned-government operative 'The Comedian' draws the attention of 'Rorschach,' the last of the outlawed vigilantes. Rorschach's investigation embroils his retired colleagues 'Nite Owl,' 'Silk Spectre,' 'Dr. Manhattan' and 'Ozymandias' in conflict with their pasts, with each other, and in a mystery that threatens their lives and a world on the brink of war."
The Painter,"An ex-CIA operative is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind."
Beauty in Black,Two women with contrasting lives become connected. One fights for survival after her mother forces her out while the other runs a prosperous company.
The Remarkable Life of Ibelin,"When Norwegian gamer Mats Steen died at age 25, his parents mourned what they thought was an isolated life. It was only once they had access to his blog that they discovered the deep friendships he created virtually before passing away from a degenerative muscular disease. They were unaware that Mats had long been leading a vibrant digital life that had left a profound impact on a community of fellow gamers. The film takes us on a journey through the breadth of Mats Steen's adventurous online life, introducing us to Ibelin, his charismatic World of Warcraft persona. Through reconstructed animated moments from Mats' gameplay, narrated entries from his blog and interviews with people who knew him as Ibelin, a picture of a remarkable young man emerges, one that underscores how community and soulful relationships can transcend the boundaries of the physical world."
Cellar Door,"For Sera and John, a city-dwelling couple looking for a fresh start, finding the ideal home is easier said than done. However, everything falls into place when Emmett Claymore, a mysterious bon vivant from Portland, makes them an offer they can't refuse. And just like that, a palatial 1918 manor becomes theirs--no strings attached. Of course, Claymore insists that his offer is genuine, but everyone knows there is no such thing as a free lunch. After all, dreams often come at a price. Now, an ominous little shadow looms over the couple's flawless fantasy. Will the new owners stick to their word and stay away from the cellar door? —Nick Riganas"
Boot Camp,"Whitney feels uncomfortable in her life and out of shape. After a disastrous prom, she convinces her parents to let her go to a boot camp to get fit. However, it turns out that her worst nemesis from school is also there (her mom runs the camp). But it's too late to go back, so she has to stay. She gets Axel as her personal trainer, a fit and handsome guy. He pushes her, and slowly Whitney builds up a new sense of confidence, while she and Axel also start building trust - and maybe something more."
Our Little Secret,"Avery and Logan haven't spoken in the 10 years since they broke up. As Christmas approaches, they discover that their new partners are siblings, and both of them have been invited to stay with the family for the holidays. Avery proposes that they keep their past a secret to avoid any awkward confrontations, but hiding the truth turns out to be more difficult than it seems--and spending time together reignites old sparks."
The Exorcism,"12-year-old Anthony faced sexual assault. He became an alcoholic and drugs to manage his emotional pain. His wife passed away after suffering from cancer. They have a daughter named Lee. Now in his 40's, Anthony, a recovering substance abuser, has been successfully cast in a horror film to play a priest role. He turns into a troubled actor, gets possessed, and shows disruptive behavior while performing on set. Either childhood trauma or sinister causes, unknowing what exactly, Lee's in trouble to save her father. What exactly happened in ""The Georgetown Project,"" (the movie project which is reminiscent of the movie ""The Exorcist,"") is the story behind it. —Sushanthi Sugi"
Blue Box,"Taiki Inomata, a third-year student in junior high, attends Eimei Academy, an integrated school with a major sports program. Having joined the high school badminton team, Taiki tries to attend open practice as early as possible. But no matter how early he goes, he always arrives second in the gymnasium. The person one step ahead of him is Chinatsu Kano, a first-year student in senior high and Taiki's crush. Chinatsu is the rising star of the basketball team, and the gap between her and Taiki could not be greater. Although Taiki is a decent badminton player, his popularity is nowhere near Chinatsu's, making it even less likely for his feelings to be reciprocated. However, in a strange twist of fate, she ends up living in Taiki's house. Wanting to become a worthy match for Chinatsu, Taiki pursues the same dream as his crush: to partake in the Nationals. Taiki starts training harder than ever before, all for the sake of building a strong relationship with his new housemate. —MAL Rewrite"
The Regime,Kate Winslet stars in this limited series as the Chancellor of an unnamed Central European nation that is unraveling behind the palace walls.
Dead Boy Detectives,"Charles Rowland and Edwin Payne choose not to enter the afterlife, instead staying on Earth to investigate crimes that involve the supernatural, with help from their living psychic medium friend."
On Swift Horses,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible."
Outbreak,"A Psychological Thriller about a state park ranger husband and his wife struggling to come to terms with their missing teenage son while dealing with a local mystery that questions their relationship and in the end, their grip on reality."
Criminal Record,Follows two brilliant detectives in a tug of war over a historic murder conviction and the quest to find common ground in a polarized Britain.
Batman: Caped Crusader,"Welcome to Gotham City, where the corrupt outnumber the good, criminals run rampant and law-abiding citizens live in a constant state of fear. Forged in the fire of tragedy, wealthy socialite Bruce Wayne becomes something both more and less than human: The Batman. His one-man crusade for justice attracts unexpected allies within the GCPD and City Hall, but his heroic actions spawn deadly, unforeseen ramifications. —Prime Video"
Dream Productions,Acclaimed director Paula Persimmon teams up with an overly confident daydream director to create the next big tween-dream hit for Riley at Dream Productions.
Dear Santa,"When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays."
Lick,"On her twenty-first birthday, Evelyn Thomas wakes up in Las Vegas with a hangover, a rock star husband, and no memory of how she got there. Her new husband, David Ferris, is the lead guitarist of the famous rock band Stage Dive. The media frenzy and David's rock-and-roll lifestyle overwhelm Evelyn, who is unsure if she can handle the pressure. As she navigates her way through this unexpected marriage, Evelyn discovers layers to David she never anticipated. Amidst the chaos, they must decide if their impromptu marriage is a mistake or a start to something real."
Lost on a Mountain in Maine,"The true story of 12-year-old Donn Fendler, who, after becoming lost in the rugged wilderness of northern Maine during the summer of 1939, grapples not only with his fight to survive, but with the broken relationship with his father whom he may never see again. —Great Mountain, LLC"
Marry My Husband,"Kang Ji-Won (Park Min-Young) is married to Park Min-Hwan (Lee Yi-Kyung). Her marriage life is not going well due to her selfish husband and his demanding mother. Kang Ji-Won is the breadwinner of the family, while her husband Park Min-Hwan is unemployed and in debt. Kang Ji-Won also does all of the housework herself. One day, Kang Ji-Won learns she has cancer and she doesn't have much time left to live. Making things worse, she witnesses her husband and her close friend Jung Soo-Min (Song Ha-Yoon) having an affair. She gets into a physical struggle with the two of them and she is killed by her husband Park Min-Hwan. The next moment, Kang Ji-Won opens her eyes and finds herself in the past, 10 years earlier when she was dating Park Min-Hwan. She decides to change her life by making Jung Soo-Min marry Park Min-Hwan. Meanwhile, Yoo Ji-Hyeok (Na In-Woo) works as a chief in the same department as Kang Ji-Won. He has a crush on her and he slowly reveals his feelings to her. He also has a secret. —AsianWiki"
Raising Voices,"Alma is 17 years old and is about to finish high school. Greta and Nata are her two best friends; they have known each other since they were little, they party together and face the typical issues of their age: feeling left out, jealousy, problems with their parents, and even toxic relationships... But when the profile @Iam_colemanmiller publishes a photo with the caption ""This is me the day before I was raped"", normality disappears and everything changes. How and when did this assault happen? Who is behind this profile? How much truth is there in this accusation and who is the real victim?"
Rich Flu,Explores how far people would go to save themselves when the wealth that made the world go round then becomes its most dangerous commodity after a strange disease threatens to kill anyone with any sort of fortune.
The Program,"Explores the unprecedented bipartisan congressional effort to uncover what intelligence agencies really know about UFOs, now referred to as UAP."
Dating Naked UK,Single men and women bare all on a tropical island in the hopes of finding love without modern world complications getting in the way.
Sweethearts,"Two college freshmen pull a ""Turkey Dump"" and break up with their high school sweethearts over ""Drunksgiving"" - the one chaotic night before Thanksgiving in their hometown that puts their codependent friendship to the test."
